k,bin_mid_years,hazard_per_year_empirical,hazard_per_year_exact_erlang,rel_err,survival_left,events_in_bin,n_at_risk_left
2,41.5,0.04995890035619691,0.05207426376440461,0.040622051187858686,0.21898,2188,43796
2,42.5,0.0516246875600846,0.05238993710691826,0.014606804075216393,0.20804,2148,41608
2,43.5,0.05010136847440446,0.05269468479604451,0.049214001975294325,0.1973,1977,39460
2,44.5,0.05237040791825628,0.052989064398541945,0.01167517274191938,0.187415,1963,37483
2,45.5,0.05365990990990991,0.053273596176822,0.00725150470048396,0.1776,1906,35520
2,46.5,0.0513774022728625,0.053548766157461805,0.04054927947759512,0.16807,1727,33614
2,47.5,0.052058832753159597,0.05381502890173411,0.03263393487684115,0.159435,1660,31887
2,48.5,0.049492175869255965,0.05407281001137657,0.08471233770090497,0.151135,1496,30227
2,49.5,0.054888448017820474,0.054322508398656245,0.010418142236933737,0.143655,1577,28731
2,50.5,0.05218384031818517,0.054564498346196276,0.04363016430402251,0.13577,1417,27154
2,51.5,0.05358044838170727,0.05479913137893595,0.022239093331634915,0.128685,1379,25737
2,52.5,0.052877904589867804,0.05502673796791445,0.03905071347859306,0.12179,1288,24358
2,53.5,0.055830082358040746,0.05524762908324552,0.010542593129518758,0.11535,1288,23070
2,54.5,0.05504545037186668,0.055462097611630345,0.007512287809256892,0.10891,1199,21782
2,55.5,0.05528834475052227,0.055670419651995914,0.006863158277987645,0.102915,1138,20583
3,1.5,0.0003850154006160246,0.0003474747019957006,0.10803865261186264,0.99996,77,199992
3,2.5,0.0009303954180526724,0.0009004988185875566,0.03320004296286477,0.999575,186,199915
3,3.5,0.0016372184309739698,0.0016477289438338854,0.006378787542239838,0.998645,327,199729
3,4.5,0.002492452432773994,0.0025449532376407248,0.020629378996134706,0.99701,497,199402
3,5.5,0.003594680877805988,0.0035555003469574862,0.01101969540856021,0.994525,715,198905
3,6.5,0.004758060447045764,0.004649224821745096,0.023409413283614056,0.99095,943,198190
3,7.5,0.006078672932921666,0.005801541063709834,0.047768664595923556,0.986235,1199,197247
3,8.5,0.006916673467722191,0.006992543788489081,0.010850174566198004,0.98024,1356,196048
3,9.5,0.008397879727980605,0.008206231070522048,0.023354041070935295,0.97346,1635,194692
3,10.5,0.008950724397457746,0.009429832490695664,0.050807699257717456,0.965285,1728,193057
3,11.5,0.01059954319522916,0.010653237122844517,0.0050401513639658614,0.956645,2028,191329
3,12.5,0.011537181525718301,0.011868512110726658,0.027916775238313443,0.946505,2184,189301
3,13.5,0.01282085540063169,0.013069500995708791,0.019024872882196543,0.935585,2399,187117
3,14.5,0.014308296971599953,0.014251490793393584,0.003985981468879198,0.92359,2643,184718
3,15.5,0.015186049704791982,0.015410937448863673,0.014592736153651285,0.910375,2765,182075
3,16.5,0.016429646980090345,0.01654524032051595,0.006986501143913293,0.89655,2946,179310
3,17.5,0.01703295457122769,0.017652557504463838,0.03509989603939646,0.88182,3004,176364
3,18.5,0.01855099215505307,0.018731654971856672,0.00964478670331257,0.8668,3216,173360
3,19.5,0.01991842204250517,0.019781783573289254,0.00690728764217279,0.85072,3389,170144
3,20.5,0.02083295853197805,0.02080257893198736,0.001460376623975982,0.833775,3474,166755
3,21.5,0.02128232923610218,0.021793980089415514,0.02347670554961296,0.816405,3475,163281
3,22.5,0.021970389096779844,0.022756163485952993,0.03453017858911911,0.79903,3511,159806
3,23.5,0.023225311110400205,0.023689489465077984,0.019594274303042742,0.781475,3630,156295
3,24.5,0.02365309664952674,0.024594458994949997,0.03827538331363776,0.763325,3611,152665
3,25.5,0.025306264843613722,0.025471678719996355,0.00649403120230061,0.74527,3772,149054
3,26.5,0.02652083534092317,0.026321832800150824,0.0075603603397711334,0.72641,3853,145282
3,27.5,0.027101938074935127,0.027145660278631727,0.0016106516934133155,0.707145,3833,141429
3,28.5,0.028089479345329807,0.027943936951010682,0.00520837112445104,0.68798,3865,137596
3,29.5,0.02822830906820408,0.028717460897758156,0.017033254830417854,0.668655,3775,133731
3,30.5,0.028478869771307213,0.029467040997024,0.033534796582276045,0.64978,3701,129956
3,31.5,0.03033543226010851,0.030193487860433257,0.00470115941329396,0.631275,3830,126255
3,32.5,0.030508474576271188,0.03089760673738076,0.012594249270406803,0.612125,3735,122425
3,33.5,0.030642851124778835,0.03158019201699892,0.02968129173234722,0.59345,3637,118690
3,34.5,0.030577212241314874,0.03224202302517927,0.051634811580038555,0.575265,3518,115053
3,35.5,0.03217824001434527,0.03288386086963138,0.021457968639496304,0.557675,3589,111535
3,36.5,0.033220313860634024,0.03350644613131304,0.00853961860227289,0.53973,3586,107946
3,37.5,0.033576082790341126,0.034110497237569086,0.01566715499647889,0.5218,3504,104360
3,38.5,0.03381058142301896,0.03469670938253368,0.02553925070372221,0.50428,3410,100856
3,39.5,0.03530160293906369,0.03526575388503302,0.001016540129768242,0.48723,3440,97446
3,40.5,0.03557219751930728,0.035818277894408466,0.006870245851200013,0.47003,3344,94006
3,41.5,0.03495400498555073,0.036354904371185354,0.038533986263074006,0.45331,3169,90662
3,42.5,0.035957162287268696,0.03687623228302523,0.024923099212052588,0.437465,3146,87493
3,43.5,0.036978197209147926,0.03738283696746205,0.010824212155602924,0.421735,3119,84347
3,44.5,0.03769636086078692,0.037875270621988,0.004723656313552926,0.40614,3062,81228
3,45.5,0.03841823810864058,0.038354062889480955,0.001673231316967684,0.39083,3003,78166
3,46.5,0.038955337067440095,0.03881972151305743,0.003493470563333322,0.375815,2928,75163
3,47.5,0.038291686855402504,0.03927273303942404,0.024980338980653768,0.361175,2766,72235
3,48.5,0.03846319941268767,0.039713563553894056,0.031484561679023165,0.347345,2672,69469
3,49.5,0.04054074284773268,0.04014265943358944,0.009916717520965838,0.333985,2708,66797
3,50.5,0.03877420462169795,0.04056044810809499,0.044039047143577904,0.320445,2485,64089
3,51.5,0.039640283098500095,0.04096733881908179,0.03239301743377032,0.30802,2442,61604
3,52.5,0.04026233055001521,0.041363723372255225,0.02662702320891094,0.29581,2382,59162
3,53.5,0.04045438534695315,0.04174997687648643,0.031032149631272262,0.2839,2297,56780
3,54.5,0.04137070278802562,0.042126458466210964,0.017940166482105918,0.272415,2254,54483
3,55.5,0.04206475329797622,0.04249351200417485,0.010089980469406823,0.261145,2197,52229
3,56.5,0.043412216181643745,0.04285146676241906,0.013085886238938778,0.25016,2172,50032
3,57.5,0.042039281236941076,0.04320063808004574,0.02688286318717807,0.2393,2012,47860
3,58.5,0.04069970336764962,0.043541327996839685,0.06526270005812208,0.22924,1866,45848
3,59.5,0.042267291164567324,0.04387382586223877,0.03661715535626805,0.21991,1859,43982
3,60.5,0.04377655912446882,0.044198408919485815,0.009544456584069863,0.210615,1844,42123
3,61.5,0.044936567442091416,0.04451534286505953,0.009462458332821427,0.201395,1810,40279
3,62.5,0.043827497465491694,0.044824882383690604,0.022250697941860194,0.192345,1686,38469
3,63.5,0.04616262947557295,0.045127271659429945,0.022943062544457108,0.183915,1698,36783
3,64.5,0.04363688185834402,0.045422744863358455,0.039316492439783156,0.175425,1531,35085
3,65.5,0.043988794182511774,0.04571152661861683,0.03768704664970518,0.16777,1476,33554
3,66.5,0.045732277573414803,0.045993832443500096,0.005686737899186653,0.16039,1467,32078
3,67.5,0.04384044951161347,0.04626986917340541,0.05250543615516214,0.153055,1342,30611
3,68.5,0.04567972940653934,0.046539835362446276,0.018481070016869244,0.146345,1337,29269
3,69.5,0.04754403551482171,0.04680392166556374,0.015813073411805857,0.13966,1328,27932
3,70.5,0.047135769057284616,0.047062311201965024,0.001560863745181405,0.13302,1254,26604
3,71.5,0.046074950690335306,0.04731517990071511,0.02621207851227174,0.12675,1168,25350
