cv,age,hazard_analytic,survival_analytic,hazard_mc,events_mc
0.3,96.0,0.021364531055660836,0.5025756561994343,0.02085379427748314,637
0.3,97.0,0.02160998153915349,0.4918916264832972,0.021398241332040522,640
0.3,98.0,0.021849325075236976,0.48131804164086567,0.022310294167890942,653
0.3,99.0,0.022082616508585933,0.4708604606009153,0.022889292703382722,655
0.3,100.0,0.022309915876775346,0.46052402469531317,0.023067844497693217,645
0.3,101.0,0.022531287885671897,0.4503134663778534,0.022990188900278225,628
0.3,102.0,0.022746801417066486,0.4402331189131625,0.022219724220623502,593
0.3,103.0,0.02295652906741971,0.43028692690676557,0.0234144472121096,611
0.3,104.0,0.023160546716532268,0.4204784575543376,0.022523936587662847,574
0.3,105.0,0.023358933124906223,0.41081091249543744,0.022079486150140507,550
0.3,106.0,0.02355176955853968,0.4012871401642943,0.02471264367816092,602
0.3,107.0,0.023739139439882814,0.39190964853752613,0.022729185958414007,540
0.3,108.0,0.02392112802368458,0.3826806181859541,0.0235593074338875,547
0.3,109.0,0.02409782209646944,0.3736019155447996,0.023818975784041286,540
0.3,110.0,0.024269309698399997,0.36467510632356986,0.024445348154172878,541
0.3,111.0,0.024435679866309953,0.35590146898369585,0.024965261695229272,539
0.3,112.0,0.024597022396718942,0.34728200821856064,0.024274381264548003,511
0.3,113.0,0.024753427627678876,0.3388174683768277,0.026192794547224927,538
0.3,114.0,0.02490498623833795,0.3305083467759998,0.02484751524847515,497
0.3,115.0,0.025051789065149852,0.3223549068588424,0.02466034350166624,481
0.3,116.0,0.025193926933700105,0.314357191150706,0.025178721614802356,479
0.3,117.0,0.025331490505161376,0.30651503398088153,0.02642221623078997,490
0.3,118.0,0.025464570136438772,0.2988280739358883,0.02592079756300194,468
0.3,119.0,0.025593255753106624,0.2912957660170514,0.026667424802410872,469
0.3,120.0,0.025717636734284222,0.28391739347890843,0.02325037971725669,398
0.6,1.0,6.01918605011135e-10,0.9999999998990001,0.0,0
0.6,2.0,1.8376730872549967e-08,0.999999993791269,0.0,0
0.6,3.0,1.331715025970752e-07,0.999999932056558,0.0,0
0.6,4.0,5.356603912945902e-07,0.9999996331680805,0.0,0
0.6,5.0,1.5606470617664613e-06,0.9999986550843711,0.0,0
0.6,6.0,3.707892883271813e-06,0.9999961397524042,0.0,0
0.6,7.0,7.652169925744685e-06,0.9999906422905006,0.0,0
0.6,8.0,1.4243461989023433e-05,0.9999799551228182,1.6666666666666667e-05,1
0.6,9.0,2.4497550498482102e-05,0.9999609367956026,1.6666944449074153e-05,1
0.6,10.0,3.9576803120466366e-05,0.9999293552458189,3.333444448148272e-05,2
0.6,11.0,6.076099894062517e-05,0.9998797555601504,6.667111140742716e-05,4
0.6,12.0,8.940854774525608e-05,0.999805362271023,5.000666755567409e-05,3
0.6,13.0,0.00012690940418268756,0.9996980255010062,5.000916834753038e-05,3
0.6,14.0,0.0001746320996101238,0.9995482184666247,0.00018337612109492214,11
0.6,15.0,0.00023386830625543047,0.9993450909474653,0.00020008336807002917,12
0.6,16.0,0.00030577893290180364,0.9990765795763172,0.000216800360222137,13
0.6,17.0,0.00039134576013269217,0.9987295717030191,0.0003336113427856547,20
0.6,18.0,0.0004913320473031628,0.9982901157187272,0.0003170365426330719,19
0.6,19.0,0.0006062545300165949,0.9977436676245263,0.00036721136352255846,22
0.6,20.0,0.0007363680044494336,0.9970753616284742,0.0006679022858955734,40
0.6,21.0,0.000881662485031589,0.9962702917729472,0.0008354358468813179,50
0.6,22.0,0.0010418718925281189,0.9953137919514712,0.0009030251341995686,54
0.6,23.0,0.0012164924802282578,0.9941917029572188,0.001054481546572935,63
0.6,24.0,0.001404808769200271,0.9928906171303143,0.0012566602995878154,75
0.6,25.0,0.0016059246176585542,0.9913980934436332,0.001526666331135605,91
0.6,26.0,0.0018187971389151756,0.9897028382244072,0.001596209422676255,95
0.6,27.0,0.0020422714377076137,0.9877948489468273,0.0020868043284360746,124
0.6,28.0,0.002275114487304015,0.9856655205072437,0.0022766750425822556,135
0.6,29.0,0.0025160468609790763,0.9833077150282804,0.0025523139853284205,151
0.6,30.0,0.0027637714165663933,0.9807157975010077,0.0024910609886292386,147
0.6,31.0,0.0030169983817738715,0.9778856404729955,0.002871024734982332,169
0.6,32.0,0.003274466583720566,0.97481460155753,0.003424482494249936,201
