k,s,age_midpoint,hazard_per_year
3,0.04,65.0,0.06305869
3,0.04,67.0,0.06748944
3,0.04,69.0,0.06503856
3,0.04,71.0,0.06368203
3,0.04,73.0,0.06925161
3,0.04,75.0,0.05935535
3,0.04,77.0,0.06445138
3,0.04,79.0,0.06656426
3,0.04,81.0,0.06881276
3,0.04,83.0,0.06986301
3,0.04,85.0,0.06170382
3,0.04,87.0,0.06448683
3,0.04,89.0,0.07247132
3,0.04,91.0,0.05914634
3,0.04,93.0,0.06085754
3,0.04,95.0,0.07322835
3,0.04,97.0,0.06642066
3,0.04,99.0,0.06808511
3,0.04,101.0,0.06773399
3,0.04,103.0,0.06980057
3,0.04,105.0,0.05960265
3,0.04,107.0,0.06015038
3,0.04,109.0,0.04487179
3,0.04,111.0,0.06807512
3,0.04,113.0,0.05434783
3,0.04,115.0,0.04878049
3,0.04,117.0,0.05405405
3,0.04,119.0,0.05303030
5,0.0,3.0,0.00001000
5,0.0,5.0,0.00003000
5,0.0,7.0,0.00007001
5,0.0,9.0,0.00027006
5,0.0,11.0,0.00053541
5,0.0,13.0,0.00088662
5,0.0,15.0,0.00119430
5,0.0,17.0,0.00171526
5,0.0,19.0,0.00237228
5,0.0,21.0,0.00332180
5,0.0,23.0,0.00401282
5,0.0,25.0,0.00466289
5,0.0,27.0,0.00576140
5,0.0,29.0,0.00720029
5,0.0,31.0,0.00778542
5,0.0,33.0,0.00925194
5,0.0,35.0,0.01021557
5,0.0,37.0,0.01111036
5,0.0,39.0,0.01220412
5,0.0,41.0,0.01333042
5,0.0,43.0,0.01395648
5,0.0,45.0,0.01548708
5,0.0,47.0,0.01625912
5,0.0,49.0,0.01775774
5,0.0,51.0,0.01890179
5,0.0,53.0,0.01932156
5,0.0,55.0,0.02051615
5,0.0,57.0,0.02125391
5,0.0,59.0,0.02307530
5,0.0,61.0,0.02355267
5,0.0,63.0,0.02435033
5,0.0,65.0,0.02460989
5,0.0,67.0,0.02536977
5,0.0,69.0,0.02616340
5,0.0,71.0,0.02735526
5,0.0,73.0,0.02674108
5,0.0,75.0,0.02869426
5,0.0,77.0,0.02840835
5,0.0,79.0,0.02900053
5,0.0,81.0,0.03022881
5,0.0,83.0,0.03114365
5,0.0,85.0,0.03153093
5,0.0,87.0,0.03292466
5,0.0,89.0,0.03263971
5,0.0,91.0,0.03247731
5,0.0,93.0,0.03423286
5,0.0,95.0,0.03516027
5,0.0,97.0,0.03437704
5,0.0,99.0,0.03356900
5,0.0,101.0,0.03754701
5,0.0,103.0,0.03821855
5,0.0,105.0,0.03640366
5,0.0,107.0,0.03648649
5,0.0,109.0,0.03656134
5,0.0,111.0,0.03545014
5,0.0,113.0,0.03746912
5,0.0,115.0,0.03966370
5,0.0,117.0,0.03985819
5,0.0,119.0,0.04056736
5,0.004,3.0,0.00001000
5,0.004,5.0,0.00004000
5,0.004,7.0,0.00015502
5,0.004,9.0,0.00027511
5,0.004,11.0,0.00042541
5,0.004,13.0,0.00092167
5,0.004,15.0,0.00140011
5,0.004,17.0,0.00209348
5,0.004,19.0,0.00250152
5,0.004,21.0,0.00360100
5,0.004,23.0,0.00437914
5,0.004,25.0,0.00556874
5,0.004,27.0,0.00683187
5,0.004,29.0,0.00833404
5,0.004,31.0,0.00971297
5,0.004,33.0,0.01043770
5,0.004,35.0,0.01206143
5,0.004,37.0,0.01369202
5,0.004,39.0,0.01459126
5,0.004,41.0,0.01540698
5,0.004,43.0,0.01764152
5,0.004,45.0,0.01829324
5,0.004,47.0,0.01994004
5,0.004,49.0,0.02103553
5,0.004,51.0,0.02289180
5,0.004,53.0,0.02388243
5,0.004,55.0,0.02487840
5,0.004,57.0,0.02570491
5,0.004,59.0,0.02794062
5,0.004,61.0,0.02836960
5,0.004,63.0,0.02983452
5,0.004,65.0,0.03184543
5,0.004,67.0,0.03210244
5,0.004,69.0,0.03404843
5,0.004,71.0,0.03504195
5,0.004,73.0,0.03538501
5,0.004,75.0,0.03715447
5,0.004,77.0,0.03685918
5,0.004,79.0,0.03871333
5,0.004,81.0,0.03954586
5,0.004,83.0,0.04006831
5,0.004,85.0,0.04118180
5,0.004,87.0,0.04206553
5,0.004,89.0,0.04361295
5,0.004,91.0,0.04497698
5,0.004,93.0,0.04141263
5,0.004,95.0,0.04702638
5,0.004,97.0,0.04230739
5,0.004,99.0,0.04664450
5,0.004,101.0,0.04504843
5,0.004,103.0,0.04966408
5,0.004,105.0,0.04986229
5,0.004,107.0,0.04671765
5,0.004,109.0,0.04879078
5,0.004,111.0,0.05180742
5,0.004,113.0,0.04997393
5,0.004,115.0,0.04808806
5,0.004,117.0,0.04807692
5,0.004,119.0,0.05165485
5,0.01,3.0,0.00000500
5,0.01,5.0,0.00004500
5,0.01,7.0,0.00012501
5,0.01,9.0,0.00023008
5,0.01,11.0,0.00059548
5,0.01,13.0,0.00096192
5,0.01,15.0,0.00152598
5,0.01,17.0,0.00240172
5,0.01,19.0,0.00330375
5,0.01,21.0,0.00427812
5,0.01,23.0,0.00520887
5,0.01,25.0,0.00708576
5,0.01,27.0,0.00841978
5,0.01,29.0,0.01013325
5,0.01,31.0,0.01164939
5,0.01,33.0,0.01333214
5,0.01,35.0,0.01568125
5,0.01,37.0,0.01723381
5,0.01,39.0,0.01867291
5,0.01,41.0,0.02074498
5,0.01,43.0,0.02207607
5,0.01,45.0,0.02399509
5,0.01,47.0,0.02600284
5,0.01,49.0,0.02735980
5,0.01,51.0,0.02994051
5,0.01,53.0,0.03082192
5,0.01,55.0,0.03263367
5,0.01,57.0,0.03451591
5,0.01,59.0,0.03607468
5,0.01,61.0,0.03702132
5,0.01,63.0,0.03965953
5,0.01,65.0,0.04015610
5,0.01,67.0,0.04225806
5,0.01,69.0,0.04265895
5,0.01,71.0,0.04310827
5,0.01,73.0,0.04417333
5,0.01,75.0,0.04551747
5,0.01,77.0,0.04790696
5,0.01,79.0,0.05002297
5,0.01,81.0,0.04934490
5,0.01,83.0,0.04993392
5,0.01,85.0,0.05418065
5,0.01,87.0,0.05186608
5,0.01,89.0,0.05275129
5,0.01,91.0,0.05154034
5,0.01,93.0,0.05364737
5,0.01,95.0,0.05789667
5,0.01,97.0,0.05511811
5,0.01,99.0,0.05752212
5,0.01,101.0,0.05684211
5,0.01,103.0,0.05888757
5,0.01,105.0,0.05968140
5,0.01,107.0,0.05554140
5,0.01,109.0,0.05732302
5,0.01,111.0,0.06393655
5,0.01,113.0,0.06050483
5,0.01,115.0,0.05595439
5,0.01,117.0,0.06038992
5,0.01,119.0,0.06408870
5,0.02,3.0,0.00001000
5,0.02,5.0,0.00006500
5,0.02,7.0,0.00010502
5,0.02,9.0,0.00035513
5,0.02,11.0,0.00073579
5,0.02,13.0,0.00123814
5,0.02,15.0,0.00197489
5,0.02,17.0,0.00298166
5,0.02,19.0,0.00427346
5,0.02,21.0,0.00583068
5,0.02,23.0,0.00740154
5,0.02,25.0,0.00917407
5,0.02,27.0,0.01173950
5,0.02,29.0,0.01379870
5,0.02,31.0,0.01602897
5,0.02,33.0,0.01919357
5,0.02,35.0,0.02102017
5,0.02,37.0,0.02428302
5,0.02,39.0,0.02586161
5,0.02,41.0,0.02941754
5,0.02,43.0,0.03089896
5,0.02,45.0,0.03349795
5,0.02,47.0,0.03580121
5,0.02,49.0,0.03740742
5,0.02,51.0,0.04019458
5,0.02,53.0,0.04186598
5,0.02,55.0,0.04356363
5,0.02,57.0,0.04441124
5,0.02,59.0,0.04896667
5,0.02,61.0,0.04835929
5,0.02,63.0,0.05060546
5,0.02,65.0,0.05209620
5,0.02,67.0,0.05365223
5,0.02,69.0,0.05450157
5,0.02,71.0,0.05507396
5,0.02,73.0,0.05549805
5,0.02,75.0,0.05965345
