lambda_s,cv,competing_mort,age,hazard_pop
0.0,0.6,True,3.5,2.8115700578807596e-07
0.0,0.6,True,4.5,9.429857238299452e-07
0.0,0.6,True,5.5,2.455596849154168e-06
0.0,0.6,True,6.5,5.405582458473285e-06
0.0,0.6,True,7.5,1.055586220694601e-05
0.0,0.6,True,8.5,1.8841099613196674e-05
0.0,0.6,True,9.5,3.1353430382394426e-05
0.0,0.6,True,10.5,4.931824446700151e-05
0.0,0.6,True,11.5,7.406004235181138e-05
0.0,0.6,True,12.5,0.00010695917888523187
0.0,0.6,True,13.5,0.00014940141971632733
0.0,0.6,True,14.5,0.0002027233218552466
0.0,0.6,True,15.5,0.00026815718810792636
0.0,0.6,True,16.5,0.0003467795793600928
0.0,0.6,True,17.5,0.0004394670961658963
0.0,0.6,True,18.5,0.0005468624110009512
0.0,0.6,True,19.5,0.0006693524363413636
0.0,0.6,True,20.5,0.0008070592458744679
0.0,0.6,True,21.5,0.0009598431832832142
0.0,0.6,True,22.5,0.0011273166815357998
0.0,0.6,True,23.5,0.0013088667334934033
0.0,0.6,True,24.5,0.0015036836795450797
0.0,0.6,True,25.5,0.001710793960647513
0.0,0.6,True,26.5,0.0019290946652412784
0.0,0.6,True,27.5,0.002157388009278173
0.0,0.6,True,28.5,0.0023944142663002398
0.0,0.6,True,29.5,0.0026388820569476865
0.0,0.6,True,30.5,0.002889495276978467
0.0,0.6,True,31.5,0.0031449762665240687
0.0,0.6,True,32.5,0.0034040850893022286
0.0,0.6,True,33.5,0.003665634996107718
0.0,0.6,True,34.5,0.003928504295357084
0.0,0.6,True,35.5,0.00419164495158471
0.0,0.6,True,36.5,0.00445408828907183
0.0,0.6,True,37.5,0.004714948201072275
0.0,0.6,True,38.5,0.0049734222636869715
0.0,0.6,True,39.5,0.005228791134634959
0.0,0.6,True,40.5,0.005480416587049567
0.0,0.6,True,41.5,0.0057277384918241366
0.0,0.6,True,42.5,0.0059702710226228325
0.0,0.6,True,43.5,0.006207598318119657
0.0,0.6,True,44.5,0.006439369798166427
0.0,0.6,True,45.5,0.00666529529558497
0.0,0.6,True,46.5,0.006885140133776133
0.0,0.6,True,47.5,0.0070987202526276395
0.0,0.6,True,48.5,0.007305897461285109
0.0,0.6,True,49.5,0.007506574876073078
0.0,0.6,True,50.5,0.007700692584928051
0.0,0.6,True,51.5,0.007888223565811056
0.0,0.6,True,52.5,0.00806916987533526
0.0,0.6,True,53.5,0.0082435591149219
0.0,0.6,True,54.5,0.008411441174845614
0.0,0.6,True,55.5,0.008572885251229713
0.0,0.6,True,56.5,0.008727977127127147
0.0,0.6,True,57.5,0.008876816706021527
0.0,0.6,True,58.5,0.009019515784189839
0.0,0.6,True,59.5,0.009156196047203196
0.0,0.6,True,60.5,0.00928698727524534
0.0,0.6,True,61.5,0.009412025741774094
0.0,0.6,True,62.5,0.009531452790229461
0.0,0.6,True,63.5,0.009645413573920101
0.0,0.6,True,64.5,0.009754055944819375
0.0,0.6,True,65.5,0.009857529477728305
0.0,0.6,True,66.5,0.009955984617058426
0.0,0.6,True,67.5,0.010049571934326505
0.0,0.6,True,68.5,0.010138441485308718
0.0,0.6,True,69.5,0.010222742256642946
0.0,0.6,True,70.5,0.010302621692501615
0.0,0.6,True,71.5,0.010378225292743388
0.0,0.6,True,72.5,0.010449696274714766
0.0,0.6,True,73.5,0.010517175291580685
0.0,0.6,True,74.5,0.010580800200731022
0.0,0.6,True,75.5,0.010640705876430357
0.0,0.6,True,76.5,0.010697024061449678
0.0,0.6,True,77.5,0.01074988325294788
0.0,0.6,True,78.5,0.01079940861835356
0.0,0.6,True,79.5,0.010845721937439481
0.0,0.6,True,80.5,0.010888941567184668
0.0,0.6,True,81.5,0.010929182426384904
0.0,0.6,True,82.5,0.010966555997301841
0.0,0.6,True,83.5,0.011001170341943024
0.0,0.6,True,84.5,0.011033130130832151
0.0,0.6,True,85.5,0.01106253668237306
0.0,0.6,True,86.5,0.011089488011131764
0.0,0.6,True,87.5,0.011114078883552089
0.0,0.6,True,88.5,0.01113640087980103
0.0,0.6,True,89.5,0.011156542460594651
0.0,0.6,True,90.5,0.011174589037996011
0.0,0.6,True,91.5,0.011190623049303213
0.0,0.6,True,92.5,0.011204724033256218
0.0,0.6,True,93.5,0.011216968707891701
0.0,0.6,True,94.5,0.011227431049462975
0.0,0.6,True,95.5,0.011236182371921049
0.0,0.6,True,96.5,0.011243291406521957
0.0,0.6,True,97.5,0.011248824381189322
0.0,0.6,True,98.5,0.011252845099312297
0.0,0.6,True,99.5,0.011255415017711028
0.0,0.6,True,100.5,0.011256593323541616
0.0,0.6,True,101.5,0.011256437009951608
0.0,0.6,True,102.5,0.011255000950329748
0.0,0.6,True,103.5,0.011252337971021625
0.0,0.6,True,104.5,0.011248498922410753
0.0,0.6,True,105.5,0.01124353274828325
0.0,0.6,True,106.5,0.011237486553417135
0.0,0.6,True,107.5,0.011230405669351908
0.0,0.6,True,108.5,0.011222333718309163
0.0,0.6,True,109.5,0.011213312675247973
0.0,0.6,True,110.5,0.01120338292804962
0.0,0.6,True,111.5,0.011192583335834764
0.0,0.6,True,112.5,0.011180951285425515
0.0,0.6,True,113.5,0.011168522745970088
0.0,0.6,True,114.5,0.011155332321754424
0.0,0.6,True,115.5,0.01114141330322981
0.0,0.6,True,116.5,0.011126797716288923
0.0,0.6,True,117.5,0.011111516369826368
0.0,0.6,True,118.5,0.011095598901622027
0.0,0.6,True,119.5,0.01107907382258853
0.0,0.6,True,120.5,0.011061968559423782
